,Year,Month,Value
0,2014,1,22.400000000000002
1,2014,2,26.733333333333334
2,2014,3,29.5
3,2014,4,30.333333333333332
4,2014,5,29.900000000000002
5,2014,6,29.266666666666666
6,2014,7,28.400000000000002
7,2014,8,27.833333333333332
8,2014,9,27.8
9,2014,10,27.53333333333333
10,2014,11,27.0
11,2014,12,25.066666666666666
12,2015,1,23.3
13,2015,2,26.133333333333336
14,2015,3,29.2
15,2015,4,29.866666666666664
16,2015,5,30.7
17,2015,6,30.46666666666667
18,2015,7,28.96666666666667
19,2015,8,28.3
20,2015,9,28.099999999999998
21,2015,10,27.566666666666666
22,2015,11,28.266666666666666
23,2015,12,26.266666666666666
24,2016,1,24.900000000000002
25,2016,2,25.599999999999998
26,2016,3,30.03333333333333
27,2016,4,32.800000000000004
28,2016,5,30.8
29,2016,6,29.099999999999998
30,2016,7,28.066666666666666
31,2016,8,28.2
32,2016,9,27.8
33,2016,10,28.066666666666666
34,2016,11,27.400000000000002
35,2016,12,25.599999999999998
36,2017,1,26.566666666666666
37,2017,2,26.733333333333334
38,2017,3,29.366666666666664
39,2017,4,30.53333333333333
40,2017,5,29.133333333333336
41,2017,6,28.866666666666664
42,2017,7,27.566666666666666
43,2017,8,28.333333333333332
44,2017,9,28.46666666666667
45,2017,10,27.599999999999998
46,2017,11,27.133333333333336
47,2017,12,24.666666666666668
48,2018,1,25.7
49,2018,2,25.933333333333334
50,2018,3,28.633333333333336
51,2018,4,28.96666666666667
52,2018,5,28.8
53,2018,6,28.666666666666668
54,2018,7,27.833333333333332
55,2018,8,27.53333333333333
56,2018,9,28.03333333333333
57,2018,10,28.366666666666664
58,2018,11,26.266666666666666
59,2018,12,26.833333333333332
60,2019,1,26.666666666666668
61,2019,2,28.3
62,2019,3,29.666666666666668
63,2019,4,31.266666666666666
64,2019,5,30.366666666666664
65,2019,6,30.133333333333336
66,2019,7,29.099999999999998
67,2019,8,27.733333333333334
68,2019,9,28.3
69,2019,10,28.733333333333334
70,2019,11,27.3
71,2019,12,24.8
72,2020,1,27.099999999999998
73,2020,2,27.733333333333334
74,2020,3,29.933333333333334
75,2020,4,30.900000000000002
76,2020,5,31.166666666666668
77,2020,6,29.599999999999998
78,2020,7,29.46666666666667
79,2020,8,28.133333333333336
80,2020,9,28.46666666666667
81,2020,10,26.46666666666667
82,2020,11,27.2
83,2020,12,25.2
84,2021,1,23.833333333333332
85,2021,2,26.566666666666666
86,2021,3,30.133333333333336
87,2021,4,28.5
88,2021,5,29.900000000000002
89,2021,6,29.53333333333333
90,2021,7,28.400000000000002
91,2021,8,28.53333333333333
92,2021,9,27.3
93,2021,10,27.400000000000002
94,2021,11,27.46666666666667
95,2021,12,24.333333333333332
96,2022,1,25.46666666666667
97,2022,2,26.333333333333332
98,2022,3,29.066666666666666
99,2022,4,28.96666666666667
100,2022,5,28.833333333333332
101,2022,6,29.133333333333336
102,2022,7,28.53333333333333
103,2022,8,27.900000000000002
104,2022,9,27.233333333333334
105,2022,10,27.2
106,2022,11,27.133333333333336
107,2022,12,24.7
108,2023,1,20.3
109,2023,2,22.95
110,2023,3,25.25
111,2023,4,27.35
112,2023,5,28.6
113,2023,6,26.8
114,2023,7,27.5
115,2023,8,26.3
116,2023,9,27.25
117,2023,10,24.95
118,2023,11,23.15
119,2023,12,20.95
120,2024,1,21.65
121,2024,2,24.65
122,2024,3,25.599999999999998
123,2024,4,29.15
124,2024,5,29.0
125,2024,6,26.4
