doc_id,พรรคการเมือง,คะแนน
constituency_10_1,,
constituency_10_10,,
constituency_10_10_page2,ประชาชน,"๔๑,๘๐๔ (สี่หมื่นหนึ่งพันแปดร้อยสี่)"
constituency_10_10_page2,เพื่อไทย,"๑๙,๐๔๗ (หนึ่งหมื่นเก้าพันสี่สิบเจ็ด)"
constituency_10_10_page2,โอกาสใหม่,"๙,๔๔๐ (เก้าพันสี่ร้อยสี่สิบ)"
constituency_10_10_page2,ภูมิใจไทย,"๗,๙๒๕ (เจ็ดพันเก้าร้อยยี่สิบห้า)"
constituency_10_10_page2,ประชาธิปัตย์,"๖,๓๗๒ (หกพันสามร้อยเจ็ดสิบสอง)"
constituency_10_10_page2,รวมไทยสร้างชาติ,"๒,๐๑๒ (สองพันสิบสอง)"
constituency_10_10_page2,เศรษฐกิจ,"๑,๔๓๗ (หนึ่งพันสี่ร้อยสามสิบเจ็ด)"
constituency_10_10_page2,ไทยสร้างไทย,๖๓๖ (หกร้อยสามสิบหก)
constituency_10_10_page2,ไทยก้าวใหม่,๕๘๓ (ห้าร้อยแปดสิบสาม)
constituency_10_10_page2,กล้าธรรม,๕๔๕ (ห้าร้อยสี่สิบห้า)
constituency_10_10_page2,ประชาธิปไตยใหม่,๕๐๓ (ห้าร้อยสาม)
constituency_10_10_page2,รักชาติ,๔๙๕ (สี่ร้อยเก้าสิบห้า)
constituency_10_10_page2,พลวัต,๔๖๑ (สี่ร้อยหกสิบเอ็ด)
constituency_10_10_page2,ประชากรไทย,๒๘๒ (สองร้อยแปดสิบสอง)
constituency_10_10_page2,ความหวังใหม่,๒๐๓ (สองร้อยสาม)
constituency_10_10_page2,วิชช์ชั่นใหม่,๑๖๘ (หนึ่งร้อยหกสิบแปด)
constituency_10_11,ประชาชน,"๓๘,๗๗๙ (สามหมื่นแปดพันเจ็ดร้อยเจ็ดสิบ ห้า)"
constituency_10_11_page2,เพื่อไทย,๒๔.๘๕๑ (สองหมื่นสี่พันแปดร้อยห้าสิบ)
constituency_10_11_page2,ภูมิใจไทย,๒๐.๔๙๘ (สองหมื่นสี่ร้อยเก้าสิบแปด)
constituency_10_11_page2,ประชาธิปัตย์,๓.๘๓๙ (สามพันแปดร้อยสามสิบเก้า)
constituency_10_11_page2,ประชากรไทย,๑.๑๐๔ (หนึ่งพันหนึ่งร้อยแปด)
constituency_10_11_page2,รวมไทยสร้างชาติ,๙๙๖ (เก้าร้อยเก้าสิบหก)
constituency_10_11_page2,เศรษฐกิจ,๕๙๑ (เก้าร้อยเก้าสิบหก)
constituency_10_11_page2,ไทยภักดี,๖๘๖ (หกร้อยแปดสิบหก)
constituency_10_11_page2,อนาคตไทย,๖๒๐ (หกร้อยยี่สิบ)
constituency_10_11_page2,โอกาสใหม่,๕๘๔ (ห้าร้อยแปดสิบสี่)
